rankid,rank,song,artist,year
"384","84","Sweet Inspiration","The Sweet Inspirations","1968"
"385","85","If You Can Want","Smokey Robinson and the Miracles","1968"
"386","86","Cab Driver","The Mills Brothers","1968"
"387","87","Time Has Come Today","The Chambers Brothers","1968"
"388","88","Do You Know the Way to San Jose","Dionne Warwick","1968"
"389","89","Scarborough Fair","Simon & Garfunkel","1968"
"390","90","Say It Loud – I'm Black and I'm Proud","James Brown","1968"
"391","91","The Mighty Quinn","Manfred Mann","1968"
"392","92","Here Comes the Judge","Shorty Long","1968"
"393","93","I Say a Little Prayer","Aretha Franklin","1968"
"394","94","Think","Aretha Franklin","1968"
"395","95","Sealed with a Kiss","Gary Lewis and the Playboys","1968"
"396","96","Piece of My Heart","Big Brother and the Holding Company","1968"
"397","97","Suzie Q.","Creedence Clearwater Revival","1968"
"398","98","Bend Me, Shape Me","The American Breed","1968"
"399","99","Hey, Western Union Man","Jerry Butler","1968"
"400","100","Never Give You Up","Jerry Butler","1968"
"401","1","Sugar, Sugar","The Archies","1969"
"402","2","Aquarius/Let the Sunshine In","The 5th Dimension","1969"
"403","3","I Can't Get Next to You","The Temptations","1969"
"404","4","Honky Tonk Women","The Rolling Stones","1969"
"405","5","Everyday People","Sly and the Family Stone","1969"
"406","6","Dizzy","Tommy Roe","1969"
"407","7","Hot Fun in the Summertime","Sly and the Family Stone","1969"
"408","8","I'll Never Fall in Love Again","Tom Jones","1969"
"409","9","Build Me Up Buttercup","The Foundations","1969"
"410","10","Crimson and Clover","Tommy James and the Shondells","1969"
"411","11","One","Three Dog Night","1969"
"412","12","Crystal Blue Persuasion","Tommy James and the Shondells","1969"
"413","13","Hair","The Cowsills","1969"
"414","14","Too Busy Thinking About My Baby","Marvin Gaye","1969"
"726","26","Song Sung Blue","Neil Diamond","1972"
"415","15","Love Theme from Romeo and Juliet","Henry Mancini","1969"
"416","16","Get Together","The Youngbloods","1969"
"417","17","Grazing in the Grass","The Friends of Distinction","1969"
"418","18","Suspicious Minds","Elvis Presley","1969"
"419","19","Proud Mary","Creedence Clearwater Revival","1969"
"420","20","What Does It Take (To Win Your Love)","Jr. Walker & The All Stars","1969"
"421","21","It's Your Thing","The Isley Brothers","1969"
"422","22","Sweet Caroline","Neil Diamond","1969"
"423","23","Jean","Oliver","1969"
"424","24","Bad Moon Rising","Creedence Clearwater Revival","1969"
"425","25","Get Back","The Beatles","1969"
"426","26","In the Year 2525","Zager & Evans","1969"
"427","27","Spinning Wheel","Blood, Sweat & Tears","1969"
"428","28","Baby, I Love You","Andy Kim","1969"
"429","29","Going in Circles","The Friends of Distinction","1969"
"430","30","Hurt So Bad","The Lettermen","1969"
"431","31","Green River","Creedence Clearwater Revival","1969"
"432","32","My Cherie Amour","Stevie Wonder","1969"
"433","33","Easy to Be Hard","Three Dog Night","1969"
"434","34","Baby It's You","Smith","1969"
"435","35","In the Ghetto","Elvis Presley","1969"
"436","36","A Boy Named Sue","Johnny Cash","1969"
"437","37","Baby, Baby Don't Cry","The Miracles","1969"
"438","38","Only the Strong Survive","Jerry Butler","1969"
"439","39","Time of the Season","The Zombies","1969"
"440","40","Wedding Bell Blues","The 5th Dimension","1969"
"441","41","Little Woman","Bobby Sherman","1969"
"442","42","Love (Can Make You Happy)","Mercy","1969"
"443","43","Good Morning Starshine","Oliver","1969"
"444","44","These Eyes","The Guess Who","1969"
"445","45","You've Made Me So Very Happy","Blood, Sweat & Tears","1969"
"446","46","Put a Little Love in Your Heart","Jackie DeShannon","1969"
"447","47","Do Your Thing","The Watts 103rd Street Rhythm Band","1969"
"448","48","I'd Wait a Million Years","The Grass Roots","1969"
"449","49","Touch Me","The Doors","1969"
"450","50","More Today Than Yesterday","Spiral Starecase","1969"
"451","51","I've Gotta Be Me","Sammy Davis Jr.","1969"
